;model;user_comment;suggestion;similarity_score;suggestion_article_id;user_comment_article_id;suggestion_0;suggestion_1;suggestion_2;suggestion_3;suggestion_4;suggestion_5
0;stsb-mpnet-base-v2;Additional air- and sea-launched missiles and increased funding for missile defense programs are good responses. Troop deployments may be confidence-builders for European nations, but are a militarily inadequate posture. ;"""In anticipation of the missile deployment, the Obama administration funded a new multibillion-dollar initiative to station American troops and those from other NATO members on a rotating basis in European countries near the Russian border, and to expand training exercises and other cooperation""<br/><br/>That's a pretty slippery statement that bears clarification: in other words, before the Russians actually deployed the controversial missile, Washington preemptively deployed troops on the Russian border - an extremely provocative reaction, esp to something that hasn't happened yet.<br/><br/>And no mention of Washington's most provocative action: deploying anti-missile systems along the Russian border (widely understood to be offensive in nature) despite verbal assurances to Gorbachev that they would not deploy such technology. And to top it all off, the bogus rationale offered for the missile defense system was to to protect Europe from Iranian missiles - but the Iranians have yet to develop missiles with that kind of range, and of course, the Iranians have no motive for attacking Europe.<br/><br/>Such is the Times' subservience to power - lies, omissions and distortions take the place of journalistic integrity. And with a certified nutcase in the White House - what better time to urge provocations?";0.6060537099838257;58e1f7f27c459f24986d8045;58e1f7f27c459f24986d8045;;;;;;
1;stsb-mpnet-base-v2;Additional air- and sea-launched missiles and increased funding for missile defense programs are good responses. Troop deployments may be confidence-builders for European nations, but are a militarily inadequate posture. ;Perhaps the US could tell NATO that it will match any military might that Europe will put forward. If they don't want to spend, then we'll cut back on the size of our commitment. If they pundle up additional money for their own defense, we'll match it. Maybe the Europeans don't believe that Russia would actually take up arms against the West. They might be right. Tough call...;0.5662330389022827;58e1f7f27c459f24986d8045;58e1f7f27c459f24986d8045;;;;;;
2;stsb-mpnet-base-v2;Additional air- and sea-launched missiles and increased funding for missile defense programs are good responses. Troop deployments may be confidence-builders for European nations, but are a militarily inadequate posture. ;"We don't have a no nuclear first strike policy, and our nuclear arsenal is being revamped to include smaller ""tactical"" nukes, likelier to be used, some of which are being deployed on Russia's any number of the NATO installations located around borders. We have probably spent a trillion dollars (nobody really knows these numbers) on missile defense, and in spite of their doubtful efficacy, have lulled many in the security and foreign policy establishment into believing that the nuclear stalemate has broken in our favor, and that we can now win a nuclear war. On any given day, there must be 10 hysterical anti-Russia articles even in the most respectable of papers, a pattern one recognizes from our road to past conflict, except this is not some weak state. Liberals? they are as lost as the neocons these days. Putin is reminding the west that any fantasy about fighting Russia and returning home to normalcy during off-rotation should be replaced with a very healthy dose of reality. The fire will burn everyone everywhere. We are back in a new arms race, and it was our mismanagement of the aftermath of the last through hubris greed and bullying that caused it. ";0.5391437411308289;5a97ff69410cf7000162ea4a;58e1f7f27c459f24986d8045;;;;;;
3;stsb-mpnet-base-v2;Additional air- and sea-launched missiles and increased funding for missile defense programs are good responses. Troop deployments may be confidence-builders for European nations, but are a militarily inadequate posture. ;I guess perhaps we need a new toy, too. Designing then building then deploying one certainly would increase demand for American defense jobs – not such a bad thing.<br/><br/>One of the factors that bankrupted Reagan’s “Evil Empire” – the Soviet Union – was competition with us on so many fronts, notably on the infrastructure needed to threaten and even wage nuclear war. Clearly, Obama’s approach of “reasoning” with opposed global interests instead of actually doing anything about seriously defending OURS has resulted in a substantially destabilized world. Much of that destabilization has been created by Vladimir Putin, constantly pushing the edge of the envelope with us … and finding that, opposed to Obama, he could do so without ANY serious danger that the envelope might fall off the table. In the interests of RE-stabilizing a world that is fast becoming a haven for strong-men, buccaneers and the excessively (even murderously) religious, it’s time we returned to the successful strategy of bankrupting those who oppose us through their destabilizing actions.;0.47358426451683044;58e1f7f27c459f24986d8045;58e1f7f27c459f24986d8045;;;;;;
4;stsb-mpnet-base-v2;Additional air- and sea-launched missiles and increased funding for missile defense programs are good responses. Troop deployments may be confidence-builders for European nations, but are a militarily inadequate posture. ;This announcement of this missile at this time strikes me as odd. It has been well demonstrated that missile defense systems are poor at best and easily overloaded with a numerically sufficient attack. Being able to overcome them seems a minor achievement at this point.<br/><br/>The concept of a nuclear engine powered cruise missile is not new. Such a system was developed and successfully tested by the US decades ago. It was a chllingly effective tool for destruction. The supersonic shock wave it would generate could cause destruction as it flew past, as could the unshielded reactor engine. Eventually the missile would run out of energy and crash, after having dispensed its nuclear munition(s) and become a dirty bomb. It was concerning enough that concerns were raised about flying it the territories of our allies.<br/><br/>So questions are raised. Why announce this type of weapon now? Where is the threat of conflict so great that this sort of saber rattling is needed? Who would be impressed most by such a thing? Does Russia consider North Korea an ally in this context? Or has Russia identified this point in history being unique in some way to require it to try and assert itself in the world order with such a  announcement?;0.47212281823158264;5a97ff69410cf7000162ea4a;58e1f7f27c459f24986d8045;;;;;;
5;stsb-mpnet-base-v2;Additional air- and sea-launched missiles and increased funding for missile defense programs are good responses. Troop deployments may be confidence-builders for European nations, but are a militarily inadequate posture. ;You do not appear very curious as to why Russia is expanding these short range missiles. <br/><br/>Placing THAAD systems on Russia's border, and now possibly troops, is a provocative move. <br/><br/>But one must not question Lockheed Martin's revenue streams.;0.47048521041870117;58e1f7f27c459f24986d8045;58e1f7f27c459f24986d8045;;;;;;
6;stsb-mpnet-base-v2;Additional air- and sea-launched missiles and increased funding for missile defense programs are good responses. Troop deployments may be confidence-builders for European nations, but are a militarily inadequate posture. ;;-1.0;;;"""In anticipation of the missile deployment, the Obama administration funded a new multibillion-dollar initiative to station American troops and those from other NATO members on a rotating basis in European countries near the Russian border, and to expand training exercises and other cooperation""<br/><br/>That's a pretty slippery statement that bears clarification: in other words, before the Russians actually deployed the controversial missile, Washington preemptively deployed troops on the Russian border - an extremely provocative reaction, esp to something that hasn't happened yet.<br/><br/>And no mention of Washington's most provocative action: deploying anti-missile systems along the Russian border (widely understood to be offensive in nature) despite verbal assurances to Gorbachev that they would not deploy such technology. And to top it all off, the bogus rationale offered for the missile defense system was to to protect Europe from Iranian missiles - but the Iranians have yet to develop missiles with that kind of range, and of course, the Iranians have no motive for attacking Europe.<br/><br/>Such is the Times' subservience to power - lies, omissions and distortions take the place of journalistic integrity. And with a certified nutcase in the White House - what better time to urge provocations?";Perhaps the US could tell NATO that it will match any military might that Europe will put forward. If they don't want to spend, then we'll cut back on the size of our commitment. If they pundle up additional money for their own defense, we'll match it. Maybe the Europeans don't believe that Russia would actually take up arms against the West. They might be right. Tough call...;"We don't have a no nuclear first strike policy, and our nuclear arsenal is being revamped to include smaller ""tactical"" nukes, likelier to be used, some of which are being deployed on Russia's any number of the NATO installations located around borders. We have probably spent a trillion dollars (nobody really knows these numbers) on missile defense, and in spite of their doubtful efficacy, have lulled many in the security and foreign policy establishment into believing that the nuclear stalemate has broken in our favor, and that we can now win a nuclear war. On any given day, there must be 10 hysterical anti-Russia articles even in the most respectable of papers, a pattern one recognizes from our road to past conflict, except this is not some weak state. Liberals? they are as lost as the neocons these days. Putin is reminding the west that any fantasy about fighting Russia and returning home to normalcy during off-rotation should be replaced with a very healthy dose of reality. The fire will burn everyone everywhere. We are back in a new arms race, and it was our mismanagement of the aftermath of the last through hubris greed and bullying that caused it. ";I guess perhaps we need a new toy, too. Designing then building then deploying one certainly would increase demand for American defense jobs – not such a bad thing.<br/><br/>One of the factors that bankrupted Reagan’s “Evil Empire” – the Soviet Union – was competition with us on so many fronts, notably on the infrastructure needed to threaten and even wage nuclear war. Clearly, Obama’s approach of “reasoning” with opposed global interests instead of actually doing anything about seriously defending OURS has resulted in a substantially destabilized world. Much of that destabilization has been created by Vladimir Putin, constantly pushing the edge of the envelope with us … and finding that, opposed to Obama, he could do so without ANY serious danger that the envelope might fall off the table. In the interests of RE-stabilizing a world that is fast becoming a haven for strong-men, buccaneers and the excessively (even murderously) religious, it’s time we returned to the successful strategy of bankrupting those who oppose us through their destabilizing actions.;This announcement of this missile at this time strikes me as odd. It has been well demonstrated that missile defense systems are poor at best and easily overloaded with a numerically sufficient attack. Being able to overcome them seems a minor achievement at this point.<br/><br/>The concept of a nuclear engine powered cruise missile is not new. Such a system was developed and successfully tested by the US decades ago. It was a chllingly effective tool for destruction. The supersonic shock wave it would generate could cause destruction as it flew past, as could the unshielded reactor engine. Eventually the missile would run out of energy and crash, after having dispensed its nuclear munition(s) and become a dirty bomb. It was concerning enough that concerns were raised about flying it the territories of our allies.<br/><br/>So questions are raised. Why announce this type of weapon now? Where is the threat of conflict so great that this sort of saber rattling is needed? Who would be impressed most by such a thing? Does Russia consider North Korea an ally in this context? Or has Russia identified this point in history being unique in some way to require it to try and assert itself in the world order with such a  announcement?;You do not appear very curious as to why Russia is expanding these short range missiles. <br/><br/>Placing THAAD systems on Russia's border, and now possibly troops, is a provocative move. <br/><br/>But one must not question Lockheed Martin's revenue streams.
7;stsb-mpnet-base-v2;"If Trump takes a hard line against the treaty violation, he'll be called a dangerous, unstable, war hawk.  If Trump takes a softer line, he'll be called a Russian puppet.<br/><br/>In either case, the liberal media and its echo chamber will have a field day.<br/><br/>Here is an idea - let our European NATO ""allies"" decide the best policy.  After all, the violations and response affect Europe. For example, let's ask which ones would be willing to host the additional nuclear missiles.";Putin's speech may serve to instil a sense of fear in the American public, hoping Trump's critics would forgive him for forging closer ties with Russia.<br/>Perhaps Putin hopes his threat would start a debate on the US-Russian relations, which would deteriorate further should Trump have to leave voluntarily or be removed.;0.6310145258903503;5a97ff69410cf7000162ea4a;58e1f7f27c459f24986d8045;;;;;;
8;stsb-mpnet-base-v2;"If Trump takes a hard line against the treaty violation, he'll be called a dangerous, unstable, war hawk.  If Trump takes a softer line, he'll be called a Russian puppet.<br/><br/>In either case, the liberal media and its echo chamber will have a field day.<br/><br/>Here is an idea - let our European NATO ""allies"" decide the best policy.  After all, the violations and response affect Europe. For example, let's ask which ones would be willing to host the additional nuclear missiles.";“I think he’s been treated very, very unfairly by the media — as I call it, the fake media, in many cases.” Trump continued<br/><br/>said the fake president ;0.6108376979827881;5926c73b7c459f24986e19df;58e1f7f27c459f24986d8045;;;;;;
9;stsb-mpnet-base-v2;"If Trump takes a hard line against the treaty violation, he'll be called a dangerous, unstable, war hawk.  If Trump takes a softer line, he'll be called a Russian puppet.<br/><br/>In either case, the liberal media and its echo chamber will have a field day.<br/><br/>Here is an idea - let our European NATO ""allies"" decide the best policy.  After all, the violations and response affect Europe. For example, let's ask which ones would be willing to host the additional nuclear missiles.";So the Donald is all over N Korea but continues to be silent on Russia even after today’s overt miltary threats ? can’t blame fake news or our intelligence agencies when it’s coming out of his bff Putin;0.6051979064941406;5a97ff69410cf7000162ea4a;58e1f7f27c459f24986d8045;;;;;;
