user_id_1,step,ranking_score_user_1,relevance_score_user_1,topic_score_user_1
3,399,0,1,8
3,400,0,1,8
3,401,0,3,8
3,402,0,6,8
3,403,0,9,10
3,404,0,8,9
3,405,5,0,0
3,336,0,9,9
3,337,0,9,9
3,338,0,9,10
3,339,0,6,9
3,340,0,10,10
3,341,0,6,10
3,342,8,0,0
3,476,0,7,9
3,477,0,9,10
3,478,0,10,10
3,479,0,10,10
3,480,0,9,10
3,481,0,9,10
3,482,8,0,0
3,343,0,10,10
3,344,0,10,10
3,345,0,8,10
3,346,0,9,10
3,347,0,9,10
3,348,0,10,10
3,349,8,0,0
3,112,0,9,10
3,113,0,9,10
3,114,0,8,10
3,115,0,6,10
3,116,0,7,10
3,117,0,6,10
3,118,9,0,0
3,63,0,9,10
3,64,0,7,10
3,65,0,10,10
3,66,0,8,10
3,67,0,9,10
3,68,0,10,10
3,69,8,0,0
3,406,0,8,10
3,407,0,6,10
3,408,0,9,10
3,409,0,6,10
3,410,0,6,9
3,411,0,6,9
3,412,7,0,0
3,21,0,7,8
3,22,0,8,9
3,23,0,8,9
3,24,0,10,10
3,25,0,9,10
3,26,0,10,10
3,27,7,0,0
3,322,0,8,8
3,323,0,8,9
3,324,0,9,10
3,325,0,6,7
3,326,0,4,5
3,327,0,5,7
3,328,7,0,0
3,259,0,9,10
3,260,0,6,8
3,261,0,9,9
3,262,0,5,7
3,263,0,10,10
3,264,0,8,8
3,265,8,0,0
3,518,0,8,10
3,519,0,9,10
3,520,0,9,10
3,521,0,8,8
3,522,0,7,8
3,523,0,1,1
3,524,9,0,0
3,210,0,8,9
3,211,0,9,10
3,212,0,9,10
3,213,0,6,8
3,214,0,9,9
3,215,0,9,10
3,216,8,0,0
3,392,0,8,8
3,393,0,8,9
3,394,0,9,9
3,395,0,10,10
3,396,0,8,8
3,397,0,5,8
3,398,8,0,0
3,462,0,7,8
3,463,0,8,9
3,464,0,7,8
3,465,0,8,8
3,466,0,9,9
3,467,0,8,9
3,468,7,0,0
3,0,0,9,10
3,1,0,6,9
3,2,0,9,10
3,3,0,10,10
3,4,0,9,9
3,5,0,5,8
3,6,9,0,0
3,140,0,3,5
3,141,0,2,3
3,142,0,1,1
3,143,0,1,1
3,144,0,1,1
3,145,0,2,2
3,146,2,0,0
3,42,0,8,9
3,43,0,6,8
3,44,0,7,8
3,45,0,6,6
3,46,0,9,10
3,47,0,7,8
3,48,8,0,0
3,287,0,8,9
3,288,0,9,9
3,289,0,8,9
3,290,0,9,10
3,291,0,10,10
3,292,0,8,9
3,293,9,0,0
3,350,0,9,10
3,351,0,10,10
3,352,0,8,9
3,353,0,10,10
3,354,0,6,7
3,355,0,6,6
3,356,8,0,0
3,91,0,4,4
3,92,0,6,8
3,93,0,8,9
3,94,0,9,9
3,95,0,8,9
3,96,0,1,1
3,97,8,0,0
3,357,0,9,9
3,358,0,9,10
3,359,0,10,10
3,360,0,10,10
3,361,0,8,9
3,362,0,10,10
3,363,8,0,0
3,420,0,10,10
3,421,0,5,9
3,422,0,9,10
3,423,0,6,9
3,424,0,10,10
3,425,0,10,10
3,426,7,0,0
3,168,0,10,10
3,169,0,10,10
3,170,0,10,10
3,171,0,10,10
3,172,0,10,10
3,173,0,10,10
3,174,10,0,0
3,273,0,10,10
3,274,0,10,10
3,275,0,9,9
3,276,0,10,10
3,277,0,8,9
3,278,0,10,10
3,279,8,0,0
3,252,0,10,10
3,253,0,10,10
